step,avg_sinr,total_throughput,handover_count,coverage,regret,avg_load,cell_edge_rate,outage_prob,pingpong_rate,drone_handover_reduction,drone_positions,drone_rewards,avg_battery_pct,drones_active,drones_charging,drones_rtb,total_energy_consumed_wh,fleet_efficiency
61,19.11782220864606,433772.80623509473,68,77.0,2786.9330553481486,10.0,11.621448438394154,0.0,101.47058823529412,-92.9078014184397,"[(np.float64(587.2416364004597), np.float64(1773.1611788817036), np.float64(54.465888355785886)), (np.float64(1745.0238520320115), np.float64(2465.721357906247), np.float64(55.650695261674834)), (np.float64(604.6500204391513), np.float64(982.9189960860505), np.float64(30.0)), (np.float64(1581.5952057236304), np.float64(571.8778959467916), np.float64(47.993777428359145)), (np.float64(2136.8684133495544), np.float64(2341.7233944673617), np.float64(56.964830840302135)), (np.float64(548.9300968595969), np.float64(1519.192401413558), np.float64(119.74978250945024))]",-9.823684677578283,0.8001093943605934,6,0,0,1.3886412305157947,86.77003356126743
62,18.4522476431718,452399.2823609224,29,75.66666666666667,2799.8621294763616,10.0,12.91201767369535,0.0,193.10344827586206,17.730496453900713,"[(np.float64(585.2366230559477), np.float64(1776.0310294899075), np.float64(54.59419344451242)), (np.float64(1746.0178634017213), np.float64(2466.923833909343), np.float64(55.851854422247406)), (np.float64(602.5231937832851), np.float64(985.2665863188166), np.float64(30.0)), (np.float64(1582.8030573294986), np.float64(569.5106822153028), np.float64(51.53266221913546)), (np.float64(2136.110054689869), np.float64(2343.169370422421), np.float64(56.797614809006234)), (np.float64(551.4889981299397), np.float64(1521.1668891397696), np.float64(118.70906614882635))]",-9.823684677578283,0.7996498911213957,6,0,0,1.3785097175926553,91.16110370403094
63,16.190874619818032,407764.7140376939,34,71.0,2858.2257719278023,10.0,14.172090366420944,0.0,155.88235294117646,3.546099290780147,"[(np.float64(585.8293817963139), np.float64(1775.4517450858748), np.float64(54.685047194587085)), (np.float64(1748.6266130885513), np.float64(2468.734948439943), np.float64(57.58950811931299)), (np.float64(600.0638934212313), np.float64(984.8907762876981), np.float64(31.34421974592649)), (np.float64(1583.8735624655674), np.float64(572.0449050212218), np.float64(49.60707543195011)), (np.float64(2134.1881652393845), np.float64(2342.3550525191295), np.float64(57.503962197654424)), (np.float64(553.205326939776), np.float64(1519.6776539956945), np.float64(119.00064309497564))]",-9.823684677578283,0.7991905123562022,6,0,0,1.3781362955808576,82.18924099509431
64,16.822840624761668,525202.2433708563,16,73.0,2858.2257719278023,10.0,14.170975780692343,0.0,112.5,54.60992907801418,"[(np.float64(585.9096454779134), np.float64(1778.2282263505103), np.float64(55.25999887492351)), (np.float64(1747.8527398393092), np.float64(2467.0956875986526), np.float64(56.84980184897719)), (np.float64(601.1985779858967), np.float64(983.8223648166205), np.float64(31.181440193489827)), (np.float64(1580.8190086953316), np.float64(573.178399364678), np.float64(48.88408667034226)), (np.float64(2136.96696445334), np.float64(2341.525129977243), np.float64(58.2454718015738)), (np.float64(552.3561044321804), np.float64(1517.8095489802538), np.float64(118.67741244975566))]",-9.823684677578283,0.7987322342721933,6,0,0,1.3748342520265564,106.1142547419178
65,16.90284035766994,489989.94817988883,15,72.33333333333334,2892.4380671187682,10.0,15.269274118207026,0.0,106.66666666666667,57.446808510638306,"[(np.float64(582.6971339278401), np.float64(1779.4771272485243), np.float64(58.562736407927964)), (np.float64(1748.6774769370045), np.float64(2469.8910351157383), np.float64(57.34641515790923)), (np.float64(597.2315229519784), np.float64(984.9274050340739), np.float64(33.51597806815627)), (np.float64(1581.5377310135812), np.float64(573.8407661270593), np.float64(49.073008414439954)), (np.float64(2139.9710028008385), np.float64(2341.2827633162983), np.float64(56.061870270545036)), (np.float64(556.6640380802627), np.float64(1520.1884605431292), np.float64(123.50332581913365))]",-9.823684677578283,0.7982678975618075,6,0,0,1.393010131157647,97.70806105031451
66,16.077432299939208,466096.6184335035,73,71.66666666666667,2956.94369205612,10.0,16.369467113087502,0.0,117.8082191780822,-107.09219858156027,"[(np.float64(583.463444456448), np.float64(1780.479605466892), np.float64(57.33167529066045)), (np.float64(1748.9819108177253), np.float64(2467.714673426947), np.float64(57.27882926447456)), (np.float64(598.2137523723163), np.float64(984.7358545954838), np.float64(32.011749350576416)), (np.float64(1581.0832784047736), np.float64(573.551782373399), np.float64(49.20601783103714)), (np.float64(2140.482062335263), np.float64(2341.905092948828), np.float64(55.77007815401742)), (np.float64(557.613414898108), np.float64(1520.6301457516101), np.float64(123.26222527518571))]",-9.823684677578283,0.7978116108043608,6,0,0,1.3688602723395236,94.5832715832388
67,18.258458376600146,544878.4513903251,26,79.0,2956.94369205612,10.0,16.36497187698639,0.0,176.9230769230769,26.241134751773053,"[(np.float64(580.5623558517906), np.float64(1782.986752323163), np.float64(55.27499141256332)), (np.float64(1751.934362464812), np.float64(2467.985064338218), np.float64(55.41965102205351)), (np.float64(596.5008496207992), np.float64(987.2756552196694), np.float64(31.290670513905994)), (np.float64(1578.046900224415), np.float64(571.4958437665277), np.float64(48.50427129579899)), (np.float64(2141.0263699812476), np.float64(2346.3530965816117), np.float64(51.22224848682905)), (np.float64(558.213367374962), np.float64(1518.0113053989685), np.float64(123.5283993361607))]",-9.823684677578283,0.7973483834335062,6,0,0,1.3896821125641827,108.91348749314139
68,18.357994582985125,530074.6589504776,19,78.33333333333333,2972.0974844959674,10.0,16.838984542259052,0.0,178.94736842105263,46.09929078014184,"[(np.float64(580.8939327793021), np.float64(1784.1665424913253), np.float64(53.86242867519384)), (np.float64(1750.2412901347238), np.float64(2469.348504600839), np.float64(56.27942804039344)), (np.float64(594.970639371436), np.float64(989.6612391323345), np.float64(30.0)), (np.float64(1581.2409438185468), np.float64(573.7376816148876), np.float64(50.731998538280486)), (np.float64(2141.5234443137783), np.float64(2346.7872443570554), np.float64(51.948956530894925)), (np.float64(559.1828576532705), np.float64(1517.0835048048234), np.float64(121.87037661461626))]",-9.823684677578283,0.796888449147366,6,0,0,1.3798028584204671,106.71304231688133
69,17.724349047630813,523932.65528621734,5,76.66666666666667,2992.943280600073,10.0,16.838984542259052,0.0,160.0,85.81560283687944,"[(np.float64(581.4686038026239), np.float64(1786.1708065622781), np.float64(54.114859792225744)), (np.float64(1749.2234038466972), np.float64(2471.7566805895076), np.float64(58.04252948362334)), (np.float64(597.1953493928667), np.float64(989.7719569039228), np.float64(31.13304746865488)), (np.float64(1581.0143890508323), np.float64(573.9529281350749), np.float64(46.676476373687)), (np.float64(2144.535344849269), np.float64(2344.088276765304), np.float64(50.930940267430636)), (np.float64(559.3966741842055), np.float64(1516.1293864855854), np.float64(119.5743515925977))]",-9.823684677578283,0.7964273958908126,6,0,0,1.3831597696603268,105.22056228280593
70,16.982736815249194,478863.4615737175,5,73.33333333333333,3058.758270416678,10.0,17.874455372266855,0.0,200.0,85.81560283687944,"[(np.float64(580.7337682006092), np.float64(1788.6166515177272), np.float64(51.560801193338975)), (np.float64(1750.2145204598971), np.float64(2474.0790192243144), np.float64(57.08680516766899)), (np.float64(596.0756496135365), np.float64(990.3564813168391), np.float64(32.48961512219897)), (np.float64(1578.494292423612), np.float64(572.1691310363718), np.float64(49.93321067103081)), (np.float64(2143.72545383775), np.float64(2343.8936535424523), np.float64(51.24195888894642)), (np.float64(560.9094519573001), np.float64(1515.4427759365349), np.float64(118.66242297852402))]",-10.308237561003605,0.7959669791060456,6,0,0,1.3812503543003611,96.30233056649486
